,단위:억 원,2015,2016,2017,2018,2019
0,매출액(수익),912.78029,2946.2202077,4646.2933414,5358.058010700001,7015.918597600001
1,yoy,0.0,69.01859923387829,36.58987947557657,13.28400453818553,23.629986064363955
2,매출원가,1147.84617,2680.8835764,3328.2927319,3906.4585941000014,5095.8442511
3,COGS,125.75273399034504,90.9939986628787,71.63328888952874,72.90810562892065,72.63260227738648
4,매출총이익,-235.06588,265.3366313,1318.0006095,1451.5994166,1920.0743464000002
5,GPM,-25.752733990345035,9.006001337121303,28.36671111047126,27.09189437107935,27.36739772118818
6,판매비와관리비,1801.35856,569.5630171,658.2065853999999,894.8119714000002,1002.6504743999999
7,SG&A,197.34853827748623,19.331990718529347,14.16627270463453,16.70030390886152,14.291079071855048
8,영업이익,-2036.42444,-304.2263858,659.7940241,556.7874452000002,917.423872
9,OPM,-223.1012722678313,-10.325989381408043,14.200438405836724,10.391590462217838,13.076318649333125
10,감가상각비,156.13509000000002,60.75895000000001,94.95112000000002,146.15384,92.51775
11,Dep,17.10544056554946,2.062267777581777,2.0435885774570957,2.7277390373178467,1.3186833443542003
12,EBITDA,-1880.28935,-243.46743579999998,754.7451441000001,702.9412852000003,1009.9416219999999
13,마진율,-205.9958317022818,-8.263721603826266,16.24402698329382,13.119329499535686,14.395001993687325
14,금융수익,0.0,0.0,0.0,0.0,0.0
15,현금및현금성자산,345.10062000000005,2303.3760062,3580.8809142000005,176.21904940000005,1251.0065318000004
16,단기금융자산,0.0,9862.893,226.05,5708.796094500001,3547.8201107000004
17,합계,345.10062000000005,12166.2690062,3806.9309142000006,5885.015143900001,4798.826642500001
18,매출액대비,37.80763276560234,412.9449989652245,81.93479478101384,109.83485307825467,68.39912088121403
19,금융원가,18411.96798,867.8308114000001,763.4533198000001,243.37216590000003,386.82642610000005
20,기타영업외수익,26.635810000000006,12.178296100000004,8.8998339,3903.9912541000012,40.0348675
21,매출액대비,2.918096533394691,0.4133532201079812,0.1915469654207916,72.86205648210155,0.5706290194657488
22,기타영업외비용,8.212530000000001,0.3901016000000001,1.3624334999999999,87.4827277,21.0878131
23,매출액대비,0.8997269211411215,0.01324074822990021,0.02932301944563572,1.6327319996404976,0.3005709488592656
24,"종속기업,공동지배기업및관계기업관련손익",45242.148,-1292.2264999,-1296.0233843,-1293.3733279000005,729.4011569
25,매출액대비,4956.521136099466,-43.860485937973756,-27.893705564218386,-24.138845180793933,10.396374284466654
26,법인세비용차감전계속사업이익,24880.6261,-2309.0098315000005,-1159.947531,3029.7583725000004,1554.3530925999999
27,매출액대비,2725.8066779684737,-78.37193653975223,-24.965008572844216,56.54582997141121,22.154662585904454
28,법인세비용,5831.16694,-540.7757363000002,-190.2263729,788.6664238,-474.6878983
29,세전이익대비,23.43657638100996,23.42024399041629,16.399567033519553,26.030670662005072,-30.539257814707938
30,당기순이익,19049.45917,-1768.2340953000007,-969.7211581,2241.0919487,2029.0409909
31,NPM,2086.9709149832756,-60.017037785522234,-20.870855257016725,41.826571198455795,28.920532110992458
